seed,zone,zone_name,iteration,cells_covered,zone_cells,cover_pct
9,1,Zone 1 (core 20×20),1,2,400,0.5
9,1,Zone 1 (core 20×20),11,15,400,3.75
9,1,Zone 1 (core 20×20),21,15,400,3.75
9,1,Zone 1 (core 20×20),31,17,400,4.25
9,1,Zone 1 (core 20×20),41,17,400,4.25
9,1,Zone 1 (core 20×20),51,17,400,4.25
9,1,Zone 1 (core 20×20),61,17,400,4.25
9,1,Zone 1 (core 20×20),71,17,400,4.25
9,1,Zone 1 (core 20×20),81,17,400,4.25
9,1,Zone 1 (core 20×20),91,17,400,4.25
9,1,Zone 1 (core 20×20),101,17,400,4.25
9,1,Zone 1 (core 20×20),111,17,400,4.25
9,1,Zone 1 (core 20×20),121,17,400,4.25
9,1,Zone 1 (core 20×20),131,17,400,4.25
9,1,Zone 1 (core 20×20),141,17,400,4.25
9,1,Zone 1 (core 20×20),151,17,400,4.25
9,1,Zone 1 (core 20×20),161,17,400,4.25
9,1,Zone 1 (core 20×20),171,17,400,4.25
9,1,Zone 1 (core 20×20),181,17,400,4.25
9,1,Zone 1 (core 20×20),191,17,400,4.25
9,1,Zone 1 (core 20×20),201,17,400,4.25
9,1,Zone 1 (core 20×20),211,17,400,4.25
9,1,Zone 1 (core 20×20),221,17,400,4.25
9,1,Zone 1 (core 20×20),231,17,400,4.25
9,1,Zone 1 (core 20×20),241,17,400,4.25
9,1,Zone 1 (core 20×20),251,17,400,4.25
9,1,Zone 1 (core 20×20),261,17,400,4.25
9,1,Zone 1 (core 20×20),271,17,400,4.25
9,1,Zone 1 (core 20×20),281,17,400,4.25
9,1,Zone 1 (core 20×20),291,17,400,4.25
9,1,Zone 1 (core 20×20),300,17,400,4.25
9,2,Zone 2 (sparse 25×25),1,4,625,0.64
9,2,Zone 2 (sparse 25×25),11,21,625,3.36
9,2,Zone 2 (sparse 25×25),21,24,625,3.84
9,2,Zone 2 (sparse 25×25),31,25,625,4.0
9,2,Zone 2 (sparse 25×25),41,27,625,4.32
9,2,Zone 2 (sparse 25×25),51,27,625,4.32
9,2,Zone 2 (sparse 25×25),61,27,625,4.32
9,2,Zone 2 (sparse 25×25),71,27,625,4.32
9,2,Zone 2 (sparse 25×25),81,27,625,4.32
9,2,Zone 2 (sparse 25×25),91,27,625,4.32
9,2,Zone 2 (sparse 25×25),101,27,625,4.32
9,2,Zone 2 (sparse 25×25),111,27,625,4.32
9,2,Zone 2 (sparse 25×25),121,27,625,4.32
9,2,Zone 2 (sparse 25×25),131,27,625,4.32
9,2,Zone 2 (sparse 25×25),141,27,625,4.32
9,2,Zone 2 (sparse 25×25),151,27,625,4.32
9,2,Zone 2 (sparse 25×25),161,27,625,4.32
9,2,Zone 2 (sparse 25×25),171,27,625,4.32
9,2,Zone 2 (sparse 25×25),181,27,625,4.32
9,2,Zone 2 (sparse 25×25),191,27,625,4.32
9,2,Zone 2 (sparse 25×25),201,27,625,4.32
9,2,Zone 2 (sparse 25×25),211,27,625,4.32
9,2,Zone 2 (sparse 25×25),221,27,625,4.32
9,2,Zone 2 (sparse 25×25),231,27,625,4.32
9,2,Zone 2 (sparse 25×25),241,27,625,4.32
9,2,Zone 2 (sparse 25×25),251,27,625,4.32
9,2,Zone 2 (sparse 25×25),261,27,625,4.32
9,2,Zone 2 (sparse 25×25),271,27,625,4.32
9,2,Zone 2 (sparse 25×25),281,27,625,4.32
9,2,Zone 2 (sparse 25×25),291,27,625,4.32
9,2,Zone 2 (sparse 25×25),300,27,625,4.32
9,3,Zone 3 (strip 15×20),1,2,300,0.6666666666666667
9,3,Zone 3 (strip 15×20),11,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),21,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),31,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),41,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),51,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),61,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),71,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),81,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),91,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),101,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),111,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),121,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),131,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),141,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),151,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),161,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),171,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),181,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),191,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),201,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),211,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),221,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),231,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),241,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),251,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),261,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),271,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),281,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),291,8,300,2.666666666666667
9,3,Zone 3 (strip 15×20),300,8,300,2.666666666666667
