A,B,U,p,r
HYBRID,PSO_MULTI_NICHE,13,1.0937e-10,0.971
PSO,PSO_MULTI_NICHE,64,1.2023e-08,0.858
HYBRID,BOUSTROPHEDON,0,1.2118e-12,1.000
HYBRID_HETERO,BOUSTROPHEDON,0,1.2118e-12,1.000
PSO,BOUSTROPHEDON,0,1.2118e-12,1.000
ACO,BOUSTROPHEDON,0,1.2118e-12,1.000
PSO_MULTI_NICHE,BOUSTROPHEDON,0,1.2118e-12,1.000
PSO,ACO,884,1.4643e-10,0.964
HYBRID,PSO,522,2.9047e-01,0.160
HYBRID,ACO,900,3.0199e-11,1.000
HYBRID_HETERO,ACO,900,3.0199e-11,1.000
ACO,PSO_MULTI_NICHE,0,3.0199e-11,1.000
HYBRID_HETERO,PSO_MULTI_NICHE,1,3.3384e-11,0.998
HYBRID,HYBRID_HETERO,648,3.4186e-03,0.441
HYBRID_HETERO,PSO,437,8.5338e-01,0.029
