# name,row_start,col_start,veg_fraction,mean_ndvi,min_ndvi,stratum,file
critico_1,8584,8604,0.0000,0.0000,0.0000,critico,critico_1.npy
critico_2,7254,10581,0.0000,0.0000,0.0000,critico,critico_2.npy
critico_3,4612,1773,0.2125,0.1775,0.0703,critico,critico_3.npy
critico_4,4543,8011,0.0000,0.0000,0.0000,critico,critico_4.npy
critico_5,9498,5977,0.0000,0.0000,0.0000,critico,critico_5.npy
critico_6,858,10231,0.0000,0.0000,0.0000,critico,critico_6.npy
alto_7,6735,1617,0.5138,0.2077,0.0580,alto,alto_7.npy
alto_8,3433,6049,0.2254,0.1554,-0.2109,alto,alto_8.npy
alto_9,1350,2788,0.1298,0.1546,0.0729,alto,alto_9.npy
alto_10,5720,2736,0.1503,0.1767,0.1047,alto,alto_10.npy
alto_11,9706,1393,0.0292,0.1323,0.0504,alto,alto_11.npy
alto_12,7029,5510,0.3510,0.1855,-0.0446,alto,alto_12.npy
moderado_13,7357,4640,0.5378,0.2599,0.0501,moderado,moderado_13.npy
moderado_14,6968,4710,0.4890,0.2649,0.0402,moderado,moderado_14.npy
moderado_15,7540,1244,0.5823,0.2444,0.0753,moderado,moderado_15.npy
moderado_16,6072,3935,0.6949,0.2862,-0.0463,moderado,moderado_16.npy
moderado_17,1212,1397,0.4582,0.2872,0.0805,moderado,moderado_17.npy
moderado_18,8225,4167,0.5105,0.2714,-0.0119,moderado,moderado_18.npy
saludable_19,6440,6039,0.5496,0.2725,-0.0166,saludable,saludable_19.npy
saludable_20,6597,5543,0.4840,0.3054,0.0381,saludable,saludable_20.npy
saludable_21,5983,1627,0.9845,0.4918,0.1087,saludable,saludable_21.npy
saludable_22,4861,4950,0.8353,0.3001,0.0277,saludable,saludable_22.npy
saludable_23,9452,4382,0.3388,0.2364,0.0489,saludable,saludable_23.npy
saludable_24,8494,4701,0.6517,0.3282,-0.0532,saludable,saludable_24.npy
