rho,beta,seed,iteration,tcr,mean_energy,sigma_energy
0.05,1.0,0,0,0.12839506172839507,221.47135779317608,0.13400328056351626
0.05,1.0,0,1,0.1646090534979424,220.89641083585428,0.19857387232887547
0.05,1.0,0,2,0.20329218106995886,220.37256307274583,0.24454588919385734
0.05,1.0,0,3,0.2139917695473251,219.80948555518026,0.2784871290594989
0.05,1.0,0,4,0.2222222222222222,219.26552240743223,0.2581442754238943
0.05,1.0,0,5,0.22633744855967078,218.72995891557122,0.28064742032520523
0.05,1.0,0,6,0.23127572016460907,218.15264618475663,0.33825652948550394
0.05,1.0,0,7,0.23950617283950618,217.5863720147769,0.3763842616288407
0.05,1.0,0,8,0.2411522633744856,217.0408085229159,0.393952655597644
0.05,1.0,0,9,0.2411522633744856,216.49938716667856,0.4113979343445496
0.05,1.0,0,10,0.2419753086419753,215.94139726794637,0.44519485408567255
0.05,1.0,0,11,0.24444444444444444,215.37926523359042,0.49650886922523985
0.05,1.0,0,12,0.24444444444444444,214.83370174172939,0.5310354285654876
0.05,1.0,0,13,0.24444444444444444,214.27156970737343,0.5714881111551315
0.05,1.0,0,14,0.24526748971193416,213.71772194426495,0.5985646680096429
0.05,1.0,0,15,0.248559670781893,213.14316350303778,0.6300852529645355
0.05,1.0,0,16,0.248559670781893,212.56860506181062,0.6730213237055326
0.05,1.0,0,17,0.248559670781893,211.98576234933603,0.7035358285576031
0.05,1.0,0,18,0.248559670781893,211.4153460437326,0.7288944071057455
0.05,1.0,0,19,0.248559670781893,210.85321400937664,0.7615957018246358
0.05,1.0,0,20,0.248559670781893,210.2910819750207,0.7989831738597817
0.05,1.0,0,21,0.25102880658436216,209.7372342119122,0.8346909588522394
0.05,1.0,0,22,0.25267489711934155,209.16267577068507,0.8669692709765873
0.05,1.0,0,23,0.25267489711934155,208.617112278824,0.8834681111482533
0.05,1.0,0,24,0.25267489711934155,208.05498024446806,0.893997175085101
0.05,1.0,0,25,0.25267489711934155,207.4928482101121,0.9168698894284715
0.05,1.0,0,26,0.25267489711934155,206.91828976888496,0.9199961543399814
0.05,1.0,0,27,0.2559670781893004,206.3520155989053,0.9357605956723662
0.05,1.0,0,28,0.2559670781893004,205.75674647955947,0.9501174599643055
0.05,1.0,0,29,0.2559670781893004,205.18633017395604,0.9782063157561132
0.05,1.0,0,30,0.2559670781893004,204.62419813960008,1.0049628255345038
0.05,1.0,0,31,0.2559670781893004,204.0454975627492,1.0186708241099982
0.05,1.0,0,32,0.2559670781893004,203.48336552839325,1.0429524597610293
0.05,1.0,0,33,0.2559670781893004,202.93780203653222,1.0719532988671667
0.05,1.0,0,34,0.2559670781893004,202.37567000217626,1.1047863937373599
0.05,1.0,0,35,0.2559670781893004,201.83424864593897,1.1262514182032797
0.05,1.0,0,36,0.2559670781893004,201.2679744759593,1.1543539641241003
0.05,1.0,0,37,0.2559670781893004,200.7141267128508,1.1311219463406927
0.05,1.0,0,38,0.2559670781893004,200.1685632209898,1.128333233107975
0.05,1.0,0,39,0.2559670781893004,199.58572050851515,1.130643533431763
0.05,1.0,0,40,0.2559670781893004,199.0360148810304,1.1393683556504925
0.05,1.0,0,41,0.2559670781893004,198.4780249822982,1.1444395331174009
0.05,1.0,0,42,0.2559670781893004,197.93246149043716,1.1686859378654937
0.05,1.0,0,43,0.2559670781893004,197.34547664233884,1.1744847097356648
0.05,1.0,0,44,0.2559670781893004,196.80405528610152,1.1902175318773316
0.05,1.0,0,45,0.2559670781893004,196.25434965861677,1.1999333972903345
0.05,1.0,0,46,0.2559670781893004,195.67564908176587,1.2331743005723486
0.05,1.0,0,47,0.2559670781893004,195.1010906405387,1.2318312620359217
0.05,1.0,0,48,0.2559670781893004,194.53895860618277,1.234846981503126
0.05,1.0,0,49,0.2559670781893004,193.95197375808442,1.250642544012227
0.05,1.0,0,50,0.2559670781893004,193.37741531685728,1.2510157997978466
0.05,1.0,0,51,0.2559670781893004,192.8028568756301,1.260900520450008
0.05,1.0,0,52,0.2559670781893004,192.22415629877926,1.2716409473349206
