Iteracion,Tiempo_Cobertura_s,Energia_Total_Wh,TCR,Robustez
0,0.0,2215.0011929930097,0.12181069958847737,0.12181069958847737
1,0.5,2209.500027278169,0.17037037037037037,0.17037037037037037
2,1.0,2204.4998622351263,0.2074074074074074,0.2074074074074074
3,1.5,2199.0260797992164,0.2353909465020576,0.2353909465020576
4,2.0,2192.8913078615906,0.24773662551440329,0.24773662551440329
5,2.5,2186.7315098869462,0.248559670781893,0.248559670781893
6,3.0,2180.6959759810134,0.248559670781893,0.248559670781893
7,3.5,2174.6190207188433,0.24938271604938272,0.24938271604938272
8,4.0,2168.4178013879614,0.25102880658436216,0.25102880658436216
9,4.5,2162.0923179883675,0.25267489711934155,0.25267489711934155
10,5.0,2155.7668345887732,0.25679012345679014,0.25679012345679014
11,5.5,2149.399929832942,0.25925925925925924,0.25925925925925924
12,6.0,2143.074446433348,0.25925925925925924,0.25925925925925924
13,6.5,2136.8318057462284,0.25925925925925924,0.25925925925925924
14,7.0,2130.6305864153464,0.25925925925925924,0.25925925925925924
15,7.5,2124.3465243719897,0.25925925925925924,0.25925925925925924
16,8.0,2118.186726397345,0.25925925925925924,0.25925925925925924
17,8.5,2111.861242997751,0.25925925925925924,0.25925925925925924
18,9.0,2105.4943382419196,0.25925925925925924,0.25925925925925924
19,9.5,2099.2516975548006,0.25925925925925924,0.25925925925925924
20,10.0,2093.009056867681,0.2609053497942387,0.2609053497942387
21,10.5,2086.849258893036,0.2609053497942387,0.2609053497942387
22,11.0,2080.5237754934424,0.2609053497942387,0.2609053497942387
23,11.5,2074.4053988750347,0.2609053497942387,0.2609053497942387
24,12.0,2068.0384941192033,0.2609053497942387,0.2609053497942387
25,12.5,2061.7130107196094,0.2609053497942387,0.2609053497942387
26,13.0,2055.4289486762527,0.2609053497942387,0.2609053497942387
27,13.5,2049.227729345371,0.2609053497942387,0.2609053497942387
28,14.0,2042.9022459457767,0.2609053497942387,0.2609053497942387
29,14.5,2036.9081333960812,0.2609053497942387,0.2609053497942387
30,15.0,2030.7897567776738,0.2609053497942387,0.2609053497942387
31,15.5,2024.5885374467916,0.2609053497942387,0.2609053497942387
32,16.0,2018.3873181159097,0.2609053497942387,0.2609053497942387
33,16.5,2012.0204133600782,0.2609053497942387,0.2609053497942387
34,17.0,2005.8191940291958,0.2609053497942387,0.2609053497942387
35,17.5,1999.6179746983144,0.2641975308641975,0.2641975308641975
36,18.0,1993.3753340111948,0.2641975308641975,0.2641975308641975
37,18.5,1986.925586542889,0.2641975308641975,0.2641975308641975
38,19.0,1980.7657885682443,0.2641975308641975,0.2641975308641975
39,19.5,1974.3988838124124,0.2641975308641975,0.2641975308641975
40,20.0,1968.114821769056,0.2641975308641975,0.2641975308641975
41,20.5,1961.9550237944113,0.2641975308641975,0.2641975308641975
42,21.0,1955.7538044635294,0.2641975308641975,0.2641975308641975
43,21.5,1949.6354278451217,0.2641975308641975,0.2641975308641975
44,22.0,1943.3927871580024,0.2641975308641975,0.2641975308641975
45,22.5,1937.1087251146457,0.2641975308641975,0.2641975308641975
46,23.0,1930.824663071289,0.2641975308641975,0.2641975308641975
47,23.5,1924.4163369592204,0.2641975308641975,0.2641975308641975
48,24.0,1918.173696272101,0.2641975308641975,0.2641975308641975
49,24.5,1911.9310555849816,0.2641975308641975,0.2641975308641975
